hotel_name,property_type,city,address,facilities,rating,min_price,max_price,latitude,longitude
Nayyla Homestay,Homestay,"Cijulang, Pangandaran","Jalan Pantai Indah Legok Pari Batukaras Cijulang Pangandaran, 46394","['tiket CLEAN', 'WiFi', 'Parkir', 'tiket CLEAN', 'WiFi', 'Parkir', 'Teras', 'Ruang Merokok', 'Tempat berjemur', 'Ruang merokok khusus', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Gazebo', 'Hewan Peliharaan Tidak Diperbolehkan', 'Keamanan']",3.0,215730,201500,-7.742987,108.478167
Panorama A La Plage Guest House,Guest House,"Pangandaran, Pangandaran","Jalan Pamugaran No. 1, Boulevard, Pantai Barat","['WiFi', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'WiFi', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Taman', 'AC', 'WiFi Publik', 'Rak Pakaian', 'Layanan Laundry/Dry Cleaning', 'Penitipan Bagasi', 'Tur', 'Penukaran Mata Uang', 'Resepsionis 24 Jam']",4.0,400001,130000,-7.687520027160644,108.64723205566406
Sadewa Homestay Batukaras,Homestay,"Cijulang, Pangandaran","Blok Jumleng, RT 037/RW 004, Batukaras, Cijulang, Kabupaten Ciamis, Jawa Barat","['InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Resepsionis 24 Jam', 'Penyimpanan Barang', 'InDOnesia CARE', 'tiket CLEAN', 'WiFi', 'Resepsionis 24 Jam', 'Penyimpanan Barang', 'Teras', 'Parkir (Biaya Tambahan)', 'WiFi Publik', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Resepsionis 24 Jam']",4.8,165000,165000,-7.749939,108.497445
Pondok Herrlanda,Hotel,"Pangandaran, Pangandaran","Jl. Bulak Laut No.11, Pangandaran, Kec. Pangandaran, Kab. Pangandaran, Jawa Barat 46396, Indonesia","['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",3.6,357210,141554,-7.693571,108.654128
Ragha Homestay,Vacation Home,"Batukaras, Pangandaran","Jl. Sanghiangkalang, Batukaras, Cijulang, Pangandaran, Jawa Barat","['WiFi', 'Parkir', 'AC', 'Perlengkapan BBQ', 'WiFi', 'Parkir', 'AC', 'Perlengkapan BBQ', 'Taman', 'Mendaki', 'Memancing', 'AC', 'WiFi Publik', 'Rak Pakaian', 'Layanan Laundry/Dry Cleaning']",4.8,209999,209999,-7.743780136108398,108.49565887451172
RedDoorz near Citimall Sukabumi,Hotel,"Sukabumi, Sukabumi","Jl. A. Yani No.283, Kebonjati, Kec. Cikole, Kota Sukabumi, Jawa Barat 43111, Indonesia","['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'AC', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Check-out Tanpa Antre', 'Penitipan Bagasi', 'Rak Koran', 'Resepsionis 24 Jam']",3.7,270722,216931,-6.923169,106.933227
Villa Anyelir Yustik RedPartner,Hotel,"Sukaraja, Sukabumi","Jl. Pd. Halimun Jl. Selabintana No.Km. 7, Perbawati, Kec. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151","['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",3.4,253800,186000,-6.874099,106.944466
Villa Anyelir Yustik RedPartner,Hotel,"Sukaraja, Sukabumi","Jl. Pd. Halimun Jl. Selabintana No.Km. 7, Perbawati, Kec. Sukabumi, Kabupaten Sukabumi, Jawa Barat 43151","['tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'tiket CLEAN', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'AC', 'WiFi Publik', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",3.4,253800,186000,-6.874099,106.944466
RedDoorz near Pantai Ujung Genteng,Hotel,"Ciracap, Sukabumi","'Jl. Ciburial, Ujung Genteng, Ciracap' 'Jawa Barat'","['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'AC', 'Resepsionis 24 Jam', 'Keamanan 24 jam']",4.0,211470,122351,-7.355040073394775,106.40411376953124
RedDoorz Syariah near Wisata Situ Gunung Sukabumi,Hotel,"Sukabumi, Sukabumi","Jl. Kadudampit KM.6 No.58, Gede Pangrango, Kec. Cisaat, Sukabumi Regency, Jawa Barat 43153, Indonesia","['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'AC', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Rak Koran', 'Resepsionis 24 Jam']",3.7,171315,95226,-6.85992,106.919771
RedDoorz Syariah near Wisata Situ Gunung Sukabumi,Hotel,"Sukabumi, Sukabumi","Jl. Kadudampit KM.6 No.58, Gede Pangrango, Kec. Cisaat, Sukabumi Regency, Jawa Barat 43153, Indonesia","['WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'WiFi', 'Parkir', 'Resepsionis 24 Jam', 'AC', 'Penyimpanan Barang', 'Teras', 'AC', 'WiFi Publik', 'Ruang Tamu', 'Parkir (Gratis)', 'Hewan Peliharaan Tidak Diperbolehkan', 'Penitipan Bagasi', 'Rak Koran', 'Resepsionis 24 Jam']",3.7,171315,95226,-6.85992,106.919771
SPOT ON 2750 Ayu Homestay Syariah,Hotel,"Cikembar, Sukabumi","39, Kamp Sampora ,RT 2 RW 5, Desa Bojong Raharja, Kec Sikembar, Kab Sukabumi No. 39, Kode Pos 43161, Sukabumi","['tiket CLEAN', 'WiFi', 'Resepsionis 24 Jam', 'tiket CLEAN', 'WiFi', 'Resepsionis 24 Jam', 'WiFi Publik', 'Hewan Peliharaan Tidak Diperbolehkan', 'Resepsionis 24 Jam']",3.4,68000,52610,-6.979612,106.830756
